Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2011-07-01,23.85,-0.0321,770.7631,2.0,-0.0022,0.0921
2011-07-04,23.8,-0.0343,767.5541,2.0,0.0022,0.09
2011-07-05,23.58,-0.0321,764.1282,2.0,0.0095,0.0921
2011-07-06,23.54,-0.0225,760.9192,2.0,0.0017,0.1017
2011-07-07,23.64,-0.0208,758.6642,2.0,-0.0043,0.1034
2011-07-08,23.51,0.0,756.5827,3.0,0.0055,0.0991
2011-07-11,23.12,0.0055,756.5827,2.0,0.0165,0.1046
2011-07-12,23.12,0.022,757.1326,2.0,0.0,0.1211
2011-07-13,23.39,0.022,759.3322,2.0,-0.0114,0.1211
2011-07-14,22.94,0.0,761.5318,3.0,0.0192,0.1096
2011-07-15,23.01,0.0192,761.5318,2.0,-0.003,0.1289
2011-07-18,22.85,0.0,763.4558,3.0,0.007,0.1259
2011-07-19,22.68,0.007,763.4558,2.0,0.0074,0.1328
2011-07-20,22.5,0.0143,764.1511,2.0,0.0078,0.1402
2011-07-21,23.08,0.0222,765.5852,2.0,-0.0252,0.1481
2011-07-22,23.12,-0.003,767.8017,2.0,-0.0017,0.1228
2011-07-25,23.63,-0.0048,767.4975,2.0,-0.0222,0.1211
2011-07-26,23.92,-0.0269,767.0194,2.0,-0.0126,0.0989
2011-07-27,23.89,-0.0395,764.325,2.0,0.0013,0.0863
2011-07-28,23.63,-0.0382,760.3702,2.0,0.0113,0.0876
2011-07-29,23.62,0.0,756.5457,3.0,0.0004,0.0989
2011-08-01,23.71,0.0004,756.5457,2.0,-0.0038,0.0994
2011-08-02,23.21,-0.0034,756.588,2.0,0.0212,0.0956
2011-08-03,22.57,0.0178,756.2494,2.0,0.0271,0.1167
2011-08-04,20.99,0.0,758.0268,3.0,0.07,0.1438
2011-08-05,20.59,0.07,758.0268,2.0,0.0177,0.2138
2011-08-08,18.96,0.0877,765.0274,2.0,0.0722,0.2315
2011-08-09,19.49,0.1599,773.8,2.0,-0.0235,0.3038
2011-08-10,20.01,0.1365,789.7948,2.0,-0.023,0.2803
2011-08-11,20.65,0.1134,803.4412,2.0,-0.0284,0.2572
2011-08-12,20.52,0.0851,814.7837,2.0,0.0058,0.2289
2011-08-15,21.29,0.0908,823.2906,2.0,-0.0341,0.2346
2011-08-16,21.04,0.0567,832.3734,2.0,0.0111,0.2005
2011-08-17,21.11,0.0678,838.0446,2.0,-0.0031,0.2116
2011-08-18,20.29,0.0647,844.8235,2.0,0.0363,0.2085
2011-08-19,19.96,0.101,851.2923,2.0,0.0146,0.2448
2011-08-22,19.63,0.1156,861.3942,2.0,0.0146,0.2594
2011-08-23,20.2,0.1303,872.9583,2.0,-0.0253,0.2741
2011-08-24,20.29,0.105,885.9844,2.0,-0.004,0.2488
2011-08-25,19.92,0.101,896.485,2.0,0.0164,0.2448
2011-08-26,19.93,0.1174,906.5869,2.0,-0.0004,0.2612
2011-08-29,20.65,0.117,918.3282,2.0,-0.0319,0.2608
2011-08-30,20.65,0.0851,930.0251,2.0,0.0,0.2289
2011-08-31,20.97,0.0851,938.532,2.0,-0.0142,0.2289
2011-09-01,21.17,0.0709,947.0388,2.0,-0.0089,0.2147
2011-09-02,20.53,0.062,954.1279,2.0,0.0284,0.2058
2011-09-05,20.06,0.0904,960.3307,2.0,0.0208,0.2342
2011-09-06,20.57,0.1112,969.3693,2.0,-0.0226,0.255
2011-09-08,20.84,0.0886,980.4903,2.0,-0.012,0.2324
2011-09-09,20.13,0.0767,989.3517,2.0,0.0315,0.2205
2011-09-12,20.34,0.1081,997.0167,2.0,-0.0093,0.2519
2011-09-13,20.38,0.0988,1007.8276,2.0,-0.0018,0.2426
2011-09-14,20.65,0.097,1017.7079,2.0,-0.012,0.2408
2011-09-15,20.68,0.0851,1027.4111,2.0,-0.0013,0.2289
2011-09-16,20.66,0.0837,1035.918,2.0,0.0009,0.2275
2011-09-19,20.94,0.0846,1044.2919,2.0,-0.0124,0.2284
2011-09-20,20.7,0.0722,1052.7544,2.0,0.0106,0.216
2011-09-21,20.73,0.0829,1059.9764,2.0,-0.0013,0.2267
2011-09-22,19.56,0.0815,1068.2617,2.0,0.0518,0.2253
2011-09-23,19.19,0.1334,1076.4141,2.0,0.0164,0.2772
2011-09-26,19.85,0.1498,1089.7504,2.0,-0.0292,0.2936
2011-09-27,19.62,0.1205,1104.7261,2.0,0.0102,0.2643
2011-09-28,19.38,0.1307,1116.7775,2.0,0.0106,0.2745
2011-09-29,19.29,0.1413,1129.8479,2.0,0.004,0.2851
2011-09-30,19.1,0.1453,1143.9817,2.0,0.0084,0.2891
2011-10-03,18.33,0.1537,1158.5143,2.0,0.0341,0.2975
2011-10-04,18.4,0.1879,1173.8887,2.0,-0.0031,0.3317
2011-10-05,18.09,0.1848,1192.6747,2.0,0.0137,0.3286
2011-10-06,18.82,0.1985,1211.1505,2.0,-0.0323,0.3423
2011-10-07,18.19,0.1661,1230.9999,2.0,0.0279,0.31
2011-10-10,18.88,0.1941,1247.6149,2.0,-0.0306,0.3379
2011-10-11,19.01,0.1635,1267.0212,2.0,-0.0058,0.3073
2011-10-13,19.23,0.1577,1283.3704,2.0,-0.0097,0.3015
2011-10-14,19.57,0.148,1299.1434,2.0,-0.0151,0.2918
2011-10-17,19.15,0.1329,1313.9419,2.0,0.0186,0.2767
2011-10-18,19.3,0.0,1327.2339,3.0,-0.0078,0.2953
2011-10-19,19.15,-0.0078,1327.2339,2.0,0.0078,0.2875
2011-10-20,18.7,0.0,1326.4507,2.0,0.0235,0.2953
2011-10-21,19.19,0.0235,1326.4507,2.0,-0.0256,0.3188
2011-10-24,19.65,-0.0021,1328.8005,2.0,-0.024,0.2932
2011-10-25,19.82,-0.0261,1328.5917,2.0,-0.0089,0.2692
2011-10-26,19.94,-0.035,1325.9807,2.0,-0.0063,0.2603
2011-10-27,20.84,0.0,1322.482,3.0,-0.0451,0.2541
2011-10-28,21.27,-0.0451,1322.482,2.0,-0.0216,0.2089
2011-10-31,21.09,0.0,1317.9685,3.0,-0.0085,0.1874
2011-11-01,20.79,-0.0085,1317.9685,1.0,-0.0141,0.1789
2011-11-03,21.63,0.0,1317.1222,3.0,0.0404,0.1648
2011-11-04,21.84,0.0404,1317.1222,1.0,0.0101,0.2052
2011-11-07,22.5,0.0,1321.1626,3.0,-0.0302,0.2153
2011-11-08,22.3,-0.0302,1321.1626,2.0,0.0092,0.1851
2011-11-09,21.25,-0.0211,1318.1406,2.0,0.0481,0.1943
2011-11-10,21.48,0.027,1316.0344,2.0,-0.0105,0.2423
2011-11-11,21.8,0.0165,1318.7358,2.0,-0.0147,0.2318
2011-11-14,21.89,0.0018,1320.3843,2.0,-0.0041,0.2171
2011-11-16,22.24,-0.0023,1320.5674,2.0,-0.016,0.213
2011-11-17,21.59,-0.0183,1320.3384,2.0,0.0298,0.197
2011-11-18,21.78,0.0,1318.507,3.0,-0.0088,0.2268
2011-11-21,21.66,-0.0088,1318.507,2.0,0.0056,0.218
2011-11-22,21.66,-0.0032,1317.6268,2.0,0.0,0.2235
2011-11-23,21.48,0.0,1317.3026,3.0,0.0083,0.2235
2011-11-24,21.59,0.0083,1317.3026,2.0,-0.0051,0.2318
2011-11-25,21.02,0.0032,1318.1337,2.0,0.0263,0.2268
2011-11-28,21.64,0.0295,1318.4568,2.0,-0.0286,0.2531
2011-11-29,21.45,0.0009,1321.4116,2.0,0.0088,0.2244
2011-11-30,22.23,0.0097,1321.5039,2.0,-0.036,0.2332
2011-12-01,22.76,-0.0263,1322.4734,2.0,-0.0245,0.1972
2011-12-02,22.7,-0.0508,1319.8419,2.0,0.0028,0.1727
2011-12-05,23.2,-0.048,1314.7633,2.0,-0.0231,0.1755
2011-12-06,23.4,0.0,1309.9619,3.0,-0.0086,0.1524
2011-12-07,23.34,-0.0086,1309.9619,2.0,0.0026,0.1438
2011-12-08,22.43,-0.006,1309.0999,2.0,0.0392,0.1464
2011-12-09,22.81,0.0332,1308.4963,2.0,-0.0164,0.1856
2011-12-12,22.15,0.0168,1311.8153,2.0,0.0284,0.1692
2011-12-13,22.21,0.0453,1313.4963,2.0,-0.0026,0.1977
2011-12-14,21.47,0.0427,1318.0222,2.0,0.0319,0.1951
